label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
6,2593.3,49.56,0.8689438080329138,230.0,40.0,96.098125,1.4375,6.61,11.32,1600.0,0.5842026825633383,1.6208125000000002
7,207.91,16.49,0.4987457517397637,74.0,40.0,7.704375,0.4625,2.21,6.24,1600.0,0.35405405405405405,0.12994375
8,1513.12,23.61,0.9455915678524374,74.0,40.0,56.070625,0.4625,5.43,5.18,1600.0,1.0488599348534202,0.9457
9,1305.01,21.44,0.9456843237429416,65.0,40.0,48.35875,0.40625,5.04,5.06,1600.0,0.9966666666666667,0.81563125
10,380.01,15.04,0.8771362946237397,56.0,40.0,14.081875,0.35,2.68,4.12,1600.0,0.6516393442622951,0.23750625
11,1644.46,27.14,0.9168962825733282,112.0,40.0,60.9375,0.7,5.63,7.66,1600.0,0.73568281938326,1.0277875
12,444.61,15.57,0.8816387959866221,68.0,40.0,16.475625,0.425,2.65,4.45,1600.0,0.5946969696969697,0.27788125
13,1448.08,23.04,0.9209555274279707,81.0,40.0,53.660625,0.50625,5.79,5.13,1600.0,1.1282894736842106,0.9050499999999999
14,1654.88,37.99,0.7514071941123764,157.0,40.0,61.32375,0.98125,4.27,11.1,1600.0,0.3844984802431611,1.0343
15,820.05,19.18,0.9282891345437883,69.0,40.0,30.388125,0.43125,5.9,2.77,1600.0,2.1341463414634148,0.51253125
16,822.18,19.07,0.9116189478802387,71.0,40.0,30.466875,0.44375,3.83,6.17,1600.0,0.6202185792349727,0.5138625
17,1456.82,23.93,0.9194698743879072,92.0,40.0,53.984375,0.575,5.35,5.63,1600.0,0.9491017964071856,0.9105125
18,1607.37,26.41,0.9414025070876098,95.0,40.0,59.563125,0.59375,5.46,5.73,1600.0,0.9529411764705882,1.00460625
19,10.54,2.96,0.6906077348066298,10.0,40.0,0.390625,0.0625,0.74,0.47,1600.0,1.5714285714285714,0.0065875
20,1004.92,21.2,0.9087470449172577,91.0,40.0,37.23875,0.56875,5.77,3.74,1600.0,1.5405405405405406,0.6280749999999999
