,label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
17,18,2193.92,217.36,0.9485743455115584,99,50,52.0312,0.495,49.74,48.18,2500,1.0323450134770888,0.877568,2
18,19,1280.2,169.99,0.9383831765302212,74,50,30.3612,0.37,38.96,37.01,2500,1.0526315789473684,0.51208,1
0,1,2639.18,245.95,0.9540815082191112,91,60,43.465833333333336,0.3791666666666666,60.52,49.87,3600,1.2135416666666667,0.7331055555555555,2
1,2,2884.09,354.41,0.9557713052858684,137,60,47.49944444444444,0.5708333333333333,58.96,52.99,3600,1.1127450980392155,0.8011361111111112,2
2,3,2046.16,249.46,0.9250247807853604,112,60,33.69916666666666,0.4666666666666667,52.99,48.18,3600,1.0997304582210243,0.5683777777777778,1
3,4,5934.55,551.14,0.7246403674070413,301,60,97.7388888888889,1.2541666666666669,84.55,119.48,3600,0.7076086956521739,1.648486111111111,3
4,5,2720.84,248.71,0.9632020157390048,99,60,44.810833333333335,0.4125,54.55,53.12,3600,1.0268948655256724,0.755788888888889,2
5,6,1830.09,287.68,0.8526726075408239,130,60,30.140555555555554,0.5416666666666666,24.42,100.39,3600,0.2432082794307891,0.5083583333333334,1
6,7,2857.07,255.33,0.9610302669276374,106,60,47.05444444444444,0.4416666666666666,62.21,50.65,3600,1.2282051282051285,0.7936305555555556,2
0,1,3364.34,480.58,0.9416741019794456,217,70,40.70857142857143,0.775,56.1,70.0,4900,0.8014842300556586,0.6866,1
1,2,1578.16,217.07,0.9383925706033376,119,70,19.095714285714287,0.425,35.58,55.06,4900,0.6462264150943396,0.3220734693877551,1
2,3,360.26,105.72,0.8999368021908574,49,70,4.359183673469388,0.175,29.09,16.62,4900,1.75,0.0735224489795918,1
3,4,933.17,244.63,0.8750415157601733,134,70,11.291428571428572,0.4785714285714286,20.78,59.35,4900,0.350109409190372,0.1904428571428571,1
4,5,3633.22,415.75,0.8827755215782378,185,70,43.96204081632653,0.6607142857142857,44.42,108.18,4900,0.4105642256902761,0.741473469387755,1
5,6,3110.16,260.65,0.9511288084713504,117,70,37.63306122448979,0.4178571428571428,50.78,70.52,4900,0.7200736648250461,0.6347265306122448,1
6,7,51.93,89.71,0.4724566518336658,50,70,0.6283673469387755,0.1785714285714285,10.78,19.35,4900,0.5570469798657718,0.0105979591836734,0
7,8,4989.26,359.69,0.9598367251583428,184,70,60.37020408163265,0.6571428571428571,79.48,70.26,4900,1.1312384473197783,1.0182163265306123,2
8,9,759.27,212.87,0.873675425998525,105,70,9.187142857142858,0.375,17.4,71.56,4900,0.2431941923774954,0.1549530612244898,1
9,10,2912.15,314.93,0.8283375870737464,144,70,35.23714285714286,0.5142857142857142,49.22,90.52,4900,0.5437589670014347,0.5943163265306123,1
10,11,1892.15,223.5,0.9515755545188516,107,70,22.89510204081633,0.3821428571428571,31.43,68.31,4900,0.4600760456273764,0.3861530612244898,1
11,12,2026.34,227.26,0.9385800443736132,82,70,24.518775510204083,0.2928571428571428,34.16,69.09,4900,0.4943609022556391,0.413538775510204,1
12,13,3263.44,272.83,0.953049423215218,126,70,39.487755102040815,0.45,52.34,68.7,4900,0.7618147448015122,0.6660081632653061,1
13,14,763.57,166.33,0.9071636108606352,82,70,9.239183673469388,0.2928571428571428,18.44,48.18,4900,0.3827493261455525,0.1558306122448979,1
0,1,6215.56,420.08,0.9172254329505348,227,80,57.58140625,0.709375,104.93,98.44,6400,1.0659630606860158,0.97118125,2
